INCIDENT_KEY,BORO,PRECINCT,JURISDICTION_CODE,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,DAY,MONTH,YEAR,WEEKDAY,time_HOUR,time_MINUTE,time_SECOND,PERP_AGE_GROUP_MIN,PERP_AGE_GROUP_MAX,PERP_AGE_MEAN,VIC_AGE_GROUP_MIN,VIC_AGE_GROUP_MAX,VIC_AGE_MEAN
201575314,3,103,0.0,0,1,1,2,1,1,2,1037451,193561,40.697805308000056,-73.80814071699997,POINT (-73.80814071699996 40.697805308000056),23,8,2019,0,22,10,0,18,24,21.0,25,44,34.5
205748546,0,40,0.0,0,7,1,2,1,0,2,1006789,237559,40.81869973000005,-73.91857061799993,POINT (-73.91857061799993 40.81869973000005),27,11,2019,6,15,54,0,0,18,9.0,25,44,34.5
193118596,2,23,0.0,0,1,1,6,0,1,3,999347,227795,40.79191609100008,-73.94547965999999,POINT (-73.94547965999999 40.791916091000076),2,2,2019,2,19,40,0,18,24,21.0,18,24,21.0
204192600,4,121,0.0,1,3,1,2,1,0,2,938149,171781,40.63806398200006,-74.16610830199994,POINT (-74.16610830199996 40.63806398200006),24,10,2019,4,0,52,0,25,44,34.5,25,44,34.5
201483468,0,46,0.0,0,3,1,3,0,1,2,1008224,250621,40.85454734900002,-73.91333944399997,POINT (-73.91333944399999 40.85454734900003),22,8,2019,4,18,3,0,25,44,34.5,18,24,21.0
198255460,1,73,0.0,0,4,1,6,1,1,2,1009650,186966,40.67982701600005,-73.90842523899995,POINT (-73.90842523899994 40.67982701600005),7,6,2019,0,17,50,0,45,64,54.5,25,44,34.5
194570529,1,81,0.0,0,1,1,2,1,1,2,1001181,189778,40.68756556300008,-73.93895197599994,POINT (-73.93895197599994 40.68756556300008),11,3,2019,1,16,30,0,18,24,21.0,25,44,34.5
203211777,1,67,0.0,1,1,1,2,1,1,2,1004729,174146,40.64465170600005,-73.92620615399994,POINT (-73.92620615399994 40.64465170600005),3,10,2019,4,1,45,0,18,24,21.0,25,44,34.5
193694863,3,114,2.0,0,1,1,2,1,1,2,999484,214810,40.75627543400003,-73.94501432899993,POINT (-73.94501432899995 40.75627543400003),17,2,2019,3,3,0,0,18,24,21.0,25,44,34.5
199582060,1,69,0.0,0,3,1,2,1,1,2,1012579,175845,40.64929346200006,-73.89791186799994,POINT (-73.89791186799994 40.64929346200006),10,7,2019,6,2,56,0,25,44,34.5,25,44,34.5
197997726,0,46,0.0,0,1,1,2,0,1,6,1013293,252852,40.86065555300007,-73.89500620399998,POINT (-73.89500620399997 40.86065555300008),3,6,2019,1,23,5,0,18,24,21.0,18,24,21.0
204464564,0,40,0.0,0,4,1,2,1,1,6,1008120,238322,40.82079045300002,-73.91375915499998,POINT (-73.91375915499998 40.82079045300003),4,11,2019,1,13,40,0,45,64,54.5,25,44,34.5
205908100,1,67,0.0,0,3,0,2,1,1,2,1004359,173694,40.64341191200003,-73.92754078099993,POINT (-73.92754078099995 40.64341191200003),2,12,2019,1,11,50,0,25,44,34.5,25,44,34.5
197953462,3,101,0.0,0,1,1,2,2,0,5,1052809,159159,40.60327400700004,-73.75310453299994,POINT (-73.75310453299994 40.60327400700004),1,6,2019,2,14,14,0,18,24,21.0,45,64,54.5
201436772,4,120,0.0,0,7,1,6,4,1,6,951232,170429,40.634411467000064,-74.11896229899997,POINT (-74.11896229899997 40.634411467000064),21,8,2019,6,23,34,0,0,18,9.0,0,18,9.0
196542452,1,67,0.0,0,1,1,2,1,1,6,996876,177505,40.65388611000003,-73.95449784399993,POINT (-73.95449784399995 40.65388611000003),27,4,2019,2,23,54,0,18,24,21.0,25,44,34.5
200056616,1,75,0.0,0,1,1,2,1,1,2,1015734,177743,40.65449240100003,-73.88653330699998,POINT (-73.88653330699998 40.65449240100003),21,7,2019,3,2,0,0,18,24,21.0,25,44,34.5
206875589,1,81,0.0,0,1,1,2,0,1,2,1006612,189509,40.68681516500004,-73.91936988499998,POINT (-73.91936988499998 40.68681516500004),30,12,2019,1,3,17,0,18,24,21.0,18,24,21.0
199403137,1,67,0.0,0,1,1,2,4,1,2,997786,177027,40.652572760000055,-73.95121919899998,POINT (-73.95121919899998 40.652572760000055),6,7,2019,2,0,3,0,18,24,21.0,0,18,9.0
196276903,3,113,0.0,0,3,1,2,1,1,2,1053637,190566,40.68947265200006,-73.74979967899996,POINT (-73.74979967899998 40.68947265200006),19,4,2019,0,0,12,0,25,44,34.5,25,44,34.5
206821821,1,78,1.0,0,1,1,2,1,1,3,991724,186291,40.67800757700008,-73.97305570499998,POINT (-73.97305570499998 40.67800757700007),21,12,2019,2,4,30,0,18,24,21.0,25,44,34.5
191709964,1,75,2.0,1,1,1,2,1,1,2,1021382,181825,40.665674700000075,-73.86615550299997,POINT (-73.86615550299996 40.66567470000007),1,1,2019,5,4,26,0,18,24,21.0,25,44,34.5
203517393,3,105,0.0,1,1,1,2,0,1,1,1066815,209653,40.74174848400003,-73.70204752099994,POINT (-73.70204752099994 40.74174848400003),9,10,2019,6,13,0,0,18,24,21.0,18,24,21.0
